,Date,Year,Day,Week,Set,TimeDeployed,Count,ProportionFemale,MeanCPUE,TotalCatch,DailyWTMP,DailyPRES,DailyWSPD
1469,11/6/1982,1982,310,45,7,,238,NA,211,1474,NA,1026.320833,6.3375
1060,11/13/1982,1982,317,46,1,,5,NA,35,311,NA,1024.3875,9.270833333
1061,11/13/1982,1982,317,46,2,,6,NA,35,311,NA,1024.3875,9.270833333
1064,11/13/1982,1982,317,46,3,,15,NA,35,311,NA,1024.3875,9.270833333
1063,11/13/1982,1982,317,46,4,,9,NA,35,311,NA,1024.3875,9.270833333
1062,11/13/1982,1982,317,46,5,,2,NA,35,311,NA,1024.3875,9.270833333
1059,11/13/1982,1982,317,46,6,,75,NA,35,311,NA,1024.3875,9.270833333
1058,11/13/1982,1982,317,46,7,,17,NA,35,311,NA,1024.3875,9.270833333
22,10/11/1983,1983,284,42,1,,114,NA,49,245,23.97916667,1023.025,12.55909091
27,10/11/1983,1983,284,42,2,,72,NA,49,245,23.97916667,1023.025,12.55909091
24,10/11/1983,1983,284,42,3,,1,NA,49,245,23.97916667,1023.025,12.55909091
25,10/11/1983,1983,284,42,4,,8,NA,49,245,23.97916667,1023.025,12.55909091
21,10/11/1983,1983,284,42,5,,50,NA,49,245,23.97916667,1023.025,12.55909091
107,10/14/1983,1983,287,42,1,,13,NA,132,659,24.26666667,1020.266667,6.195833333
106,10/14/1983,1983,287,42,2,,62,NA,132,659,24.26666667,1020.266667,6.195833333
108,10/14/1983,1983,287,42,3,,236,NA,132,659,24.26666667,1020.266667,6.195833333
109,10/14/1983,1983,287,42,4,,218,NA,132,659,24.26666667,1020.266667,6.195833333
110,10/14/1983,1983,287,42,5,,130,NA,132,659,24.26666667,1020.266667,6.195833333
378,10/21/1983,1983,294,43,1,,47,NA,138,1101,24.1875,1022.533333,11.62083333
376,10/21/1983,1983,294,43,2,,68,NA,138,1101,24.1875,1022.533333,11.62083333
381,10/21/1983,1983,294,43,3,,9,NA,138,1101,24.1875,1022.533333,11.62083333
380,10/21/1983,1983,294,43,4,,146,NA,138,1101,24.1875,1022.533333,11.62083333
377,10/21/1983,1983,294,43,5,,218,NA,138,1101,24.1875,1022.533333,11.62083333
379,10/21/1983,1983,294,43,6,,428,NA,138,1101,24.1875,1022.533333,11.62083333
375,10/21/1983,1983,294,43,7,,112,NA,138,1101,24.1875,1022.533333,11.62083333
664,10/28/1983,1983,301,44,1,,6,NA,23,140,23.19166667,1023.795833,9.45
659,10/28/1983,1983,301,44,2,,1,NA,23,140,23.19166667,1023.795833,9.45
663,10/28/1983,1983,301,44,3,,108,NA,23,140,23.19166667,1023.795833,9.45
662,10/28/1983,1983,301,44,4,,1,NA,23,140,23.19166667,1023.795833,9.45
665,10/28/1983,1983,301,44,5,,24,NA,23,140,23.19166667,1023.795833,9.45
660,10/28/1983,1983,301,44,6,,0,NA,23,140,23.19166667,1023.795833,9.45
1475,11/6/1983,1983,310,46,1,,83,NA,110,772,22.07083333,1012.641667,11.55
1470,11/6/1983,1983,310,46,2,,87,NA,110,772,22.07083333,1012.641667,11.55
1471,11/6/1983,1983,310,46,3,,214,NA,110,772,22.07083333,1012.641667,11.55
1474,11/6/1983,1983,310,46,4,,66,NA,110,772,22.07083333,1012.641667,11.55
1476,11/6/1983,1983,310,46,5,,19,NA,110,772,22.07083333,1012.641667,11.55
1472,11/6/1983,1983,310,46,6,,82,NA,110,772,22.07083333,1012.641667,11.55
1473,11/6/1983,1983,310,46,7,,221,NA,110,772,22.07083333,1012.641667,11.55
1123,11/15/1983,1983,319,47,1,,6,NA,18,90,22.55,1018.566667,5.466666667
1124,11/15/1983,1983,319,47,2,,14,NA,18,90,22.55,1018.566667,5.466666667
1126,11/15/1983,1983,319,47,3,,66,NA,18,90,22.55,1018.566667,5.466666667
1122,11/15/1983,1983,319,47,4,,4,NA,18,90,22.55,1018.566667,5.466666667
1125,11/15/1983,1983,319,47,5,,0,NA,18,90,22.55,1018.566667,5.466666667
28,10/11/1984,1984,285,41,1,,19,NA,43,304,NA,NA,NA
31,10/11/1984,1984,285,41,2,,4,NA,43,304,NA,NA,NA
32,10/11/1984,1984,285,41,3,,5,NA,43,304,NA,NA,NA
29,10/11/1984,1984,285,41,4,,13,NA,43,304,NA,NA,NA
30,10/11/1984,1984,285,41,5,,117,NA,43,304,NA,NA,NA
33,10/11/1984,1984,285,41,6,,67,NA,43,304,NA,NA,NA
34,10/11/1984,1984,285,41,7,,79,NA,43,304,NA,NA,NA
268,10/18/1984,1984,292,42,1,,81,NA,112,787,NA,NA,NA
264,10/18/1984,1984,292,42,2,,390,NA,112,787,NA,NA,NA
265,10/18/1984,1984,292,42,3,,162,NA,112,787,NA,NA,NA
263,10/18/1984,1984,292,42,4,,106,NA,112,787,NA,NA,NA
266,10/18/1984,1984,292,42,5,,12,NA,112,787,NA,NA,NA
267,10/18/1984,1984,292,42,6,,12,NA,112,787,NA,NA,NA
269,10/18/1984,1984,292,42,7,,24,NA,112,787,NA,NA,NA
545,10/25/1984,1984,299,43,1,,346,NA,260,1823,NA,NA,NA
542,10/25/1984,1984,299,43,2,,166,NA,260,1823,NA,NA,NA
541,10/25/1984,1984,299,43,3,,133,NA,260,1823,NA,NA,NA
544,10/25/1984,1984,299,43,4,,77,NA,260,1823,NA,NA,NA
547,10/25/1984,1984,299,43,5,,339,NA,260,1823,NA,NA,NA
546,10/25/1984,1984,299,43,6,,66,NA,260,1823,NA,NA,NA
543,10/25/1984,1984,299,43,7,,696,NA,260,1823,NA,NA,NA
921,11/1/1984,1984,306,44,1,,74,NA,29,175,23.24166667,1025.004167,9.1625
922,11/1/1984,1984,306,44,2,,24,NA,29,175,23.24166667,1025.004167,9.1625
920,11/1/1984,1984,306,44,3,,45,NA,29,175,23.24166667,1025.004167,9.1625
923,11/1/1984,1984,306,44,4,,31,NA,29,175,23.24166667,1025.004167,9.1625
924,11/1/1984,1984,306,44,5,,1,NA,29,175,23.24166667,1025.004167,9.1625
925,11/1/1984,1984,306,44,6,,0,NA,29,175,23.24166667,1025.004167,9.1625
1545,11/8/1984,1984,313,45,1,,66,NA,54,324,22.35833333,1021.191667,9.125
1546,11/8/1984,1984,313,45,2,,3,NA,54,324,22.35833333,1021.191667,9.125
1547,11/8/1984,1984,313,45,3,,70,NA,54,324,22.35833333,1021.191667,9.125
1548,11/8/1984,1984,313,45,4,,0,NA,54,324,22.35833333,1021.191667,9.125
1549,11/8/1984,1984,313,45,5,,95,NA,54,324,22.35833333,1021.191667,9.125
1550,11/8/1984,1984,313,45,6,,90,NA,54,324,22.35833333,1021.191667,9.125
1132,11/15/1984,1984,320,46,1,,88,NA,36,178,21.80869565,1026.152174,7.126086957
1129,11/15/1984,1984,320,46,2,,69,NA,36,178,21.80869565,1026.152174,7.126086957
1130,11/15/1984,1984,320,46,3,,4,NA,36,178,21.80869565,1026.152174,7.126086957
1131,11/15/1984,1984,320,46,4,,15,NA,36,178,21.80869565,1026.152174,7.126086957
1133,11/15/1984,1984,320,46,5,,2,NA,36,178,21.80869565,1026.152174,7.126086957
513,10/24/1985,1985,297,43,1,,88,NA,138,1105,23.5625,1020.858333,7.745833333
518,10/24/1985,1985,297,43,2,,172,NA,138,1105,23.5625,1020.858333,7.745833333
514,10/24/1985,1985,297,43,3,,102,NA,138,1105,23.5625,1020.858333,7.745833333
519,10/24/1985,1985,297,43,4,,55,NA,138,1105,23.5625,1020.858333,7.745833333
515,10/24/1985,1985,297,43,5,,139,NA,138,1105,23.5625,1020.858333,7.745833333
517,10/24/1985,1985,297,43,6,,182,NA,138,1105,23.5625,1020.858333,7.745833333
516,10/24/1985,1985,297,43,7,,236,NA,138,1105,23.5625,1020.858333,7.745833333
1336,11/3/1985,1985,307,45,1,,120,NA,41,243,24.67083333,1010.125,9.05
1332,11/3/1985,1985,307,45,2,,38,NA,41,243,24.67083333,1010.125,9.05
1333,11/3/1985,1985,307,45,3,,36,NA,41,243,24.67083333,1010.125,9.05
1334,11/3/1985,1985,307,45,4,,29,NA,41,243,24.67083333,1010.125,9.05
1330,11/3/1985,1985,307,45,5,,13,NA,41,243,24.67083333,1010.125,9.05
1335,11/3/1985,1985,307,45,6,,7,NA,41,243,24.67083333,1010.125,9.05
1552,11/8/1985,1985,312,45,1,,18,NA,58,466,23.61666667,1016.825,8.695833333
1553,11/8/1985,1985,312,45,2,,43,NA,58,466,23.61666667,1016.825,8.695833333
1554,11/8/1985,1985,312,45,3,,72,NA,58,466,23.61666667,1016.825,8.695833333
1555,11/8/1985,1985,312,45,4,,297,NA,58,466,23.61666667,1016.825,8.695833333
1556,11/8/1985,1985,312,45,5,,0,NA,58,466,23.61666667,1016.825,8.695833333
1557,11/8/1985,1985,312,45,6,,22,NA,58,466,23.61666667,1016.825,8.695833333
1558,11/8/1985,1985,312,45,7,,12,NA,58,466,23.61666667,1016.825,8.695833333
1085,11/14/1985,1985,318,46,1,,252,NA,125,752,24.84782609,1023.178261,4.752173913
1083,11/14/1985,1985,318,46,2,,163,NA,125,752,24.84782609,1023.178261,4.752173913
1079,11/14/1985,1985,318,46,3,,142,NA,125,752,24.84782609,1023.178261,4.752173913
1081,11/14/1985,1985,318,46,4,,79,NA,125,752,24.84782609,1023.178261,4.752173913
1082,11/14/1985,1985,318,46,5,,70,NA,125,752,24.84782609,1023.178261,4.752173913
1084,11/14/1985,1985,318,46,6,,46,NA,125,752,24.84782609,1023.178261,4.752173913
273,10/18/1986,1986,291,42,1,,119,NA,55,328,24.825,1021.429167,6.770833333
270,10/18/1986,1986,291,42,2,,103,NA,55,328,24.825,1021.429167,6.770833333
274,10/18/1986,1986,291,42,3,,67,NA,55,328,24.825,1021.429167,6.770833333
276,10/18/1986,1986,291,42,4,,27,NA,55,328,24.825,1021.429167,6.770833333
271,10/18/1986,1986,291,42,5,,7,NA,55,328,24.825,1021.429167,6.770833333
275,10/18/1986,1986,291,42,6,,5,NA,55,328,24.825,1021.429167,6.770833333
483,10/23/1986,1986,296,43,1,,274,NA,138,829,24.47916667,1024.929167,1.9125
480,10/23/1986,1986,296,43,2,,132,NA,138,829,24.47916667,1024.929167,1.9125
482,10/23/1986,1986,296,43,3,,159,NA,138,829,24.47916667,1024.929167,1.9125
479,10/23/1986,1986,296,43,4,,114,NA,138,829,24.47916667,1024.929167,1.9125
485,10/23/1986,1986,296,43,5,,100,NA,138,829,24.47916667,1024.929167,1.9125
484,10/23/1986,1986,296,43,6,,50,NA,138,829,24.47916667,1024.929167,1.9125
755,10/30/1986,1986,303,44,1,,533,NA,337,1686,24.52083333,1022.204167,3.7125
753,10/30/1986,1986,303,44,2,,439,NA,337,1686,24.52083333,1022.204167,3.7125
754,10/30/1986,1986,303,44,3,,285,NA,337,1686,24.52083333,1022.204167,3.7125
750,10/30/1986,1986,303,44,4,,214,NA,337,1686,24.52083333,1022.204167,3.7125
751,10/30/1986,1986,303,44,5,,215,NA,337,1686,24.52083333,1022.204167,3.7125
1409,11/5/1986,1986,309,45,1,,198,NA,69,416,24.45833333,1019.404167,5.8125
1407,11/5/1986,1986,309,45,2,,39,NA,69,416,24.45833333,1019.404167,5.8125
1408,11/5/1986,1986,309,45,3,,23,NA,69,416,24.45833333,1019.404167,5.8125
1411,11/5/1986,1986,309,45,4,,121,NA,69,416,24.45833333,1019.404167,5.8125
1412,11/5/1986,1986,309,45,5,,20,NA,69,416,24.45833333,1019.404167,5.8125
1413,11/5/1986,1986,309,45,6,,15,NA,69,416,24.45833333,1019.404167,5.8125
1029,11/12/1986,1986,316,46,1,,13,NA,158,1105,25.0125,1022.279167,7.325
1030,11/12/1986,1986,316,46,2,,17,NA,158,1105,25.0125,1022.279167,7.325
1027,11/12/1986,1986,316,46,3,,10,NA,158,1105,25.0125,1022.279167,7.325
1024,11/12/1986,1986,316,46,4,,212,NA,158,1105,25.0125,1022.279167,7.325
1025,11/12/1986,1986,316,46,5,,357,NA,158,1105,25.0125,1022.279167,7.325
1026,11/12/1986,1986,316,46,6,,461,NA,158,1105,25.0125,1022.279167,7.325
1028,11/12/1986,1986,316,46,7,,35,NA,158,1105,25.0125,1022.279167,7.325
1232,11/20/1986,1986,324,47,1,,174,NA,85,508,23.5625,1020.745833,6.133333333
1235,11/20/1986,1986,324,47,2,,99,NA,85,508,23.5625,1020.745833,6.133333333
1233,11/20/1986,1986,324,47,3,,70,NA,85,508,23.5625,1020.745833,6.133333333
1234,11/20/1986,1986,324,47,4,,62,NA,85,508,23.5625,1020.745833,6.133333333
1236,11/20/1986,1986,324,47,5,,55,NA,85,508,23.5625,1020.745833,6.133333333
1237,11/20/1986,1986,324,47,6,,48,NA,85,508,23.5625,1020.745833,6.133333333
192,10/16/1987,1987,289,42,1,,553,NA,190,952,27.225,1018.6875,4.5125
188,10/16/1987,1987,289,42,2,,89,NA,190,952,27.225,1018.6875,4.5125
191,10/16/1987,1987,289,42,3,,168,NA,190,952,27.225,1018.6875,4.5125
193,10/16/1987,1987,289,42,4,,110,NA,190,952,27.225,1018.6875,4.5125
190,10/16/1987,1987,289,42,5,,32,NA,190,952,27.225,1018.6875,4.5125
431,10/22/1987,1987,295,43,1,,71,NA,189,1325,26.95,1021.875,8.8125
436,10/22/1987,1987,295,43,2,,226,NA,189,1325,26.95,1021.875,8.8125
435,10/22/1987,1987,295,43,3,,48,NA,189,1325,26.95,1021.875,8.8125
434,10/22/1987,1987,295,43,4,,41,NA,189,1325,26.95,1021.875,8.8125
437,10/22/1987,1987,295,43,5,,27,NA,189,1325,26.95,1021.875,8.8125
433,10/22/1987,1987,295,43,6,,125,NA,189,1325,26.95,1021.875,8.8125
432,10/22/1987,1987,295,43,7,,787,NA,189,1325,26.95,1021.875,8.8125
703,10/29/1987,1987,302,44,1,,849,NA,429,2576,26.3375,1022.925,4.5125
701,10/29/1987,1987,302,44,2,,834,NA,429,2576,26.3375,1022.925,4.5125
705,10/29/1987,1987,302,44,3,,448,NA,429,2576,26.3375,1022.925,4.5125
702,10/29/1987,1987,302,44,4,,126,NA,429,2576,26.3375,1022.925,4.5125
706,10/29/1987,1987,302,44,5,,210,NA,429,2576,26.3375,1022.925,4.5125
704,10/29/1987,1987,302,44,6,,109,NA,429,2576,26.3375,1022.925,4.5125
1415,11/5/1987,1987,309,45,1,,298,NA,282,1977,25.3625,1016.15,8.0125
1419,11/5/1987,1987,309,45,2,,417,NA,282,1977,25.3625,1016.15,8.0125
1420,11/5/1987,1987,309,45,3,,114,NA,282,1977,25.3625,1016.15,8.0125
1414,11/5/1987,1987,309,45,4,,15,NA,282,1977,25.3625,1016.15,8.0125
1416,11/5/1987,1987,309,45,5,,365,NA,282,1977,25.3625,1016.15,8.0125
1417,11/5/1987,1987,309,45,6,,763,NA,282,1977,25.3625,1016.15,8.0125
1418,11/5/1987,1987,309,45,7,,5,NA,282,1977,25.3625,1016.15,8.0125
1033,11/12/1987,1987,316,46,1,,226,NA,139,975,24.5125,1024.6,4.5375
1032,11/12/1987,1987,316,46,2,,132,NA,139,975,24.5125,1024.6,4.5375
1031,11/12/1987,1987,316,46,3,,155,NA,139,975,24.5125,1024.6,4.5375
1035,11/12/1987,1987,316,46,4,,253,NA,139,975,24.5125,1024.6,4.5375
1036,11/12/1987,1987,316,46,5,,0,NA,139,975,24.5125,1024.6,4.5375
1037,11/12/1987,1987,316,46,6,,42,NA,139,975,24.5125,1024.6,4.5375
1034,11/12/1987,1987,316,46,7,,167,NA,139,975,24.5125,1024.6,4.5375
1179,11/19/1987,1987,323,47,1,,80,NA,61,425,24.25,1020.625,9.9625
1176,11/19/1987,1987,323,47,2,,1,NA,61,425,24.25,1020.625,9.9625
1177,11/19/1987,1987,323,47,3,,13,NA,61,425,24.25,1020.625,9.9625
1180,11/19/1987,1987,323,47,4,,87,NA,61,425,24.25,1020.625,9.9625
1178,11/19/1987,1987,323,47,5,,136,NA,61,425,24.25,1020.625,9.9625
1181,11/19/1987,1987,323,47,6,,71,NA,61,425,24.25,1020.625,9.9625
1182,11/19/1987,1987,323,47,7,,37,NA,61,425,24.25,1020.625,9.9625
1315,11/25/1987,1987,329,48,1,,29,NA,46,319,24.0125,1016.05,8.2375
1313,11/25/1987,1987,329,48,2,,35,NA,46,319,24.0125,1016.05,8.2375
1309,11/25/1987,1987,329,48,3,,69,NA,46,319,24.0125,1016.05,8.2375
1310,11/25/1987,1987,329,48,4,,12,NA,46,319,24.0125,1016.05,8.2375
1311,11/25/1987,1987,329,48,5,,5,NA,46,319,24.0125,1016.05,8.2375
1312,11/25/1987,1987,329,48,6,,76,NA,46,319,24.0125,1016.05,8.2375
1314,11/25/1987,1987,329,48,7,,93,NA,46,319,24.0125,1016.05,8.2375
299,10/19/1988,1988,293,43,1,,16,NA,15,133,22.85416667,1016.170833,3.820833333
304,10/19/1988,1988,293,43,2,,14,NA,15,133,22.85416667,1016.170833,3.820833333
298,10/19/1988,1988,293,43,3,,7,NA,15,133,22.85416667,1016.170833,3.820833333
303,10/19/1988,1988,293,43,4,,42,NA,15,133,22.85416667,1016.170833,3.820833333
301,10/19/1988,1988,293,43,5,,5,NA,15,133,22.85416667,1016.170833,3.820833333
302,10/19/1988,1988,293,43,6,,7,NA,15,133,22.85416667,1016.170833,3.820833333
300,10/19/1988,1988,293,43,7,,10,NA,15,133,22.85416667,1016.170833,3.820833333
608,10/27/1988,1988,301,44,1,,34,NA,379,2652,22.12173913,1017.93913,2.652173913
609,10/27/1988,1988,301,44,2,,60,NA,379,2652,22.12173913,1017.93913,2.652173913
604,10/27/1988,1988,301,44,3,,155,NA,379,2652,22.12173913,1017.93913,2.652173913
610,10/27/1988,1988,301,44,4,,179,NA,379,2652,22.12173913,1017.93913,2.652173913
607,10/27/1988,1988,301,44,5,,244,NA,379,2652,22.12173913,1017.93913,2.652173913
605,10/27/1988,1988,301,44,6,,995,NA,379,2652,22.12173913,1017.93913,2.652173913
606,10/27/1988,1988,301,44,7,,985,NA,379,2652,22.12173913,1017.93913,2.652173913
1340,11/3/1988,1988,308,45,1,,300,NA,593,6581,20.80416667,1017.429167,3.5125
1337,11/3/1988,1988,308,45,2,,1098,NA,593,6581,20.80416667,1017.429167,3.5125
1339,11/3/1988,1988,308,45,4,,380,NA,593,6581,20.80416667,1017.429167,3.5125
1010,11/11/1988,1988,316,46,1,,148,NA,245,1712,21.53333333,1019.004167,5.170833333
1015,11/11/1988,1988,316,46,2,,101,NA,245,1712,21.53333333,1019.004167,5.170833333
1016,11/11/1988,1988,316,46,3,,52,NA,245,1712,21.53333333,1019.004167,5.170833333
1013,11/11/1988,1988,316,46,4,,84,NA,245,1712,21.53333333,1019.004167,5.170833333
1014,11/11/1988,1988,316,46,5,,382,NA,245,1712,21.53333333,1019.004167,5.170833333
1011,11/11/1988,1988,316,46,6,,408,NA,245,1712,21.53333333,1019.004167,5.170833333
1012,11/11/1988,1988,316,46,7,,537,NA,245,1712,21.53333333,1019.004167,5.170833333
1243,11/20/1988,1988,325,48,1,,163,NA,78,465,21.19166667,1017.395833,5.0125
1244,11/20/1988,1988,325,48,2,,131,NA,78,465,21.19166667,1017.395833,5.0125
1240,11/20/1988,1988,325,48,3,,92,NA,78,465,21.19166667,1017.395833,5.0125
1245,11/20/1988,1988,325,48,4,,41,NA,78,465,21.19166667,1017.395833,5.0125
1241,11/20/1988,1988,325,48,5,,25,NA,78,465,21.19166667,1017.395833,5.0125
1242,11/20/1988,1988,325,48,6,,13,NA,78,465,21.19166667,1017.395833,5.0125
1288,11/23/1988,1988,328,48,1,,73,NA,36,254,20.75,1011.516667,9.504166667
1291,11/23/1988,1988,328,48,2,,7,NA,36,254,20.75,1011.516667,9.504166667
1292,11/23/1988,1988,328,48,3,,29,NA,36,254,20.75,1011.516667,9.504166667
1293,11/23/1988,1988,328,48,4,,36,NA,36,254,20.75,1011.516667,9.504166667
1289,11/23/1988,1988,328,48,5,,15,NA,36,254,20.75,1011.516667,9.504166667
1294,11/23/1988,1988,328,48,6,,53,NA,36,254,20.75,1011.516667,9.504166667
1290,11/23/1988,1988,328,48,7,,41,NA,36,254,20.75,1011.516667,9.504166667
1615,12/1/1988,1988,336,49,1,,76,NA,57,228,19.27083333,1022.170833,6.145833333
1616,12/1/1988,1988,336,49,2,,63,NA,57,228,19.27083333,1022.170833,6.145833333
1617,12/1/1988,1988,336,49,3,,55,NA,57,228,19.27083333,1022.170833,6.145833333
1618,12/1/1988,1988,336,49,4,,34,NA,57,228,19.27083333,1022.170833,6.145833333
198,10/16/1989,1989,289,42,1,,21,NA,60,418,25.38333333,1021.120833,2.054166667
195,10/16/1989,1989,289,42,2,,5,NA,60,418,25.38333333,1021.120833,2.054166667
200,10/16/1989,1989,289,42,3,,5,NA,60,418,25.38333333,1021.120833,2.054166667
201,10/16/1989,1989,289,42,4,,149,NA,60,418,25.38333333,1021.120833,2.054166667
199,10/16/1989,1989,289,42,5,,116,NA,60,418,25.38333333,1021.120833,2.054166667
197,10/16/1989,1989,289,42,6,,80,NA,60,418,25.38333333,1021.120833,2.054166667
196,10/16/1989,1989,289,42,7,,42,NA,60,418,25.38333333,1021.120833,2.054166667
581,10/26/1989,1989,299,43,1,,437,NA,207,1243,24.31666667,1022.595833,8.1125
582,10/26/1989,1989,299,43,2,,293,NA,207,1243,24.31666667,1022.595833,8.1125
577,10/26/1989,1989,299,43,3,,276,NA,207,1243,24.31666667,1022.595833,8.1125
576,10/26/1989,1989,299,43,4,,154,NA,207,1243,24.31666667,1022.595833,8.1125
580,10/26/1989,1989,299,43,5,,74,NA,207,1243,24.31666667,1022.595833,8.1125
578,10/26/1989,1989,299,43,6,,9,NA,207,1243,24.31666667,1022.595833,8.1125
1185,11/2/1989,1989,306,44,1,,7,NA,20,161,23.97916667,1019.316667,6.85
1186,11/2/1989,1989,306,44,2,,13,NA,20,161,23.97916667,1019.316667,6.85
1189,11/2/1989,1989,306,44,3,,35,NA,20,161,23.97916667,1019.316667,6.85
1183,11/2/1989,1989,306,44,4,,2,NA,20,161,23.97916667,1019.316667,6.85
1184,11/2/1989,1989,306,44,5,,33,NA,20,161,23.97916667,1019.316667,6.85
1187,11/2/1989,1989,306,44,6,,55,NA,20,161,23.97916667,1019.316667,6.85
1188,11/2/1989,1989,306,44,7,,11,NA,20,161,23.97916667,1019.316667,6.85
959,11/10/1989,1989,314,45,1,,366,NA,275,1928,23.57826087,1010.33913,8.304347826
960,11/10/1989,1989,314,45,2,,207,NA,275,1928,23.57826087,1010.33913,8.304347826
958,11/10/1989,1989,314,45,3,,605,NA,275,1928,23.57826087,1010.33913,8.304347826
955,11/10/1989,1989,314,45,4,,325,NA,275,1928,23.57826087,1010.33913,8.304347826
961,11/10/1989,1989,314,45,5,,66,NA,275,1928,23.57826087,1010.33913,8.304347826
956,11/10/1989,1989,314,45,6,,248,NA,275,1928,23.57826087,1010.33913,8.304347826
957,11/10/1989,1989,314,45,7,,111,NA,275,1928,23.57826087,1010.33913,8.304347826
1137,11/15/1989,1989,319,46,1,,0,NA,48,385,23.34166667,1020.883333,7.879166667
1134,11/15/1989,1989,319,46,2,,52,NA,48,385,23.34166667,1020.883333,7.879166667
1135,11/15/1989,1989,319,46,3,,41,NA,48,385,23.34166667,1020.883333,7.879166667
1136,11/15/1989,1989,319,46,4,,64,NA,48,385,23.34166667,1020.883333,7.879166667
1139,11/15/1989,1989,319,46,5,,142,NA,48,385,23.34166667,1020.883333,7.879166667
1138,11/15/1989,1989,319,46,6,,22,NA,48,385,23.34166667,1020.883333,7.879166667
1140,11/15/1989,1989,319,46,7,,10,NA,48,385,23.34166667,1020.883333,7.879166667
